language,condition,n,mean,pair_sd,ci95_low,ci95_high
spanish,initial,12,20.3348145770836,0.0243209199473647,20.3193618017811,20.3502673523861
spanish,same_language_same_starting_weights,12,18.4343918803649,0.0819848150906668,18.3823012140351,18.4864825466947
spanish,same_language_different_starting_weights,12,28.5563691887827,1.73453734666306,27.4542967371745,29.658441640391
spanish,other_language_different_starting_weights,12,28.871143480002,2.23579860379793,27.4505848201783,30.2917021398258
german,initial,12,20.4015317714321,0.0263290944688842,20.3848030629118,20.4182604799524
german,same_language_same_starting_weights,12,18.6532781052666,0.0758671750716908,18.6050744019628,18.7014818085703
german,same_language_different_starting_weights,12,26.9175650979807,1.7936336867463,25.7779446232515,28.0571855727099
german,other_language_different_starting_weights,12,27.5736299737885,1.49300558377472,26.6250194828464,28.5222404647306
