language,claim_id,contrast_id,contrast,kind,outcome,estimate,ci_confidence,ci_low,ci_high,n
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,Spanish same-language spelling effect at step zero,directional,step_zero,0.370296849924239,0.95,0.201741086409212,0.538852613439266,12
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,Spanish same-language spelling effect over the learning curve,directional,learning_curve_auc,1.20966030162302,0.95,0.835698604913155,1.58362199833289,12
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,German same-language spelling effect at step zero,directional,step_zero,0.0573622556786288,0.95,-0.0715379454148148,0.186262456772073,12
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,German same-language spelling effect over the learning curve,directional,learning_curve_auc,0.692037267938244,0.95,0.416444514893929,0.967630020982558,12
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,Spanish same-language minus other-language effect at step zero,directional,step_zero,-0.8220237673144,0.95,-1.01898875939212,-0.625058775236675,12
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,Spanish same-language minus other-language effect over the learning curve,directional,learning_curve_auc,-1.10175932223222,0.95,-1.56992434535313,-0.633594299111296,12
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,German same-language minus other-language effect at step zero,directional,step_zero,-0.420339064356868,0.95,-0.52851512639778,-0.312163002315956,12
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,German same-language minus other-language effect over the learning curve,directional,learning_curve_auc,-0.165957521659171,0.95,-0.406557115125934,0.074642071807592,12
