language,claim_id,contrast_id,outcome,seed,estimate
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10000,3.19876032322645
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10001,3.28297976963222
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10002,3.23874449264258
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10003,3.19529470335692
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10004,3.20474984496832
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10005,3.25511950068176
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10006,3.27103782538325
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10007,3.23005464952439
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10008,3.36897973809391
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10009,3.2778478609398
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10010,3.24634532816708
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,installation_nll,10011,3.32381751667708
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10000,1.62507111038595
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10001,1.65731294436197
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10002,1.64863577600718
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10003,1.60806372865399
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10004,1.62845871647494
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10005,1.63863431865951
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10006,1.66518916315595
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10007,1.64562578326774
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10008,1.69357364189889
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10009,1.66019429817211
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10010,1.65045964780826
spanish,english_trained_reference_advantage,spanish_matched_minus_english_reference,weighted_english_nll,10011,1.67531269438545
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10000,3.37104730308056
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10001,3.35760748386383
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10002,3.35773963760585
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10003,3.32946235779673
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10004,3.44965596869588
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10005,3.32134065590799
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10006,3.35434643831104
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10007,3.3267345642671
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10008,3.35024420078844
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10009,3.41421488765627
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10010,3.33339107036591
german,english_trained_reference_advantage,german_matched_minus_english_reference,installation_nll,10011,3.35747610684484
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10000,1.66239873774175
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10001,1.64770375979623
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10002,1.66121047809806
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10003,1.64516501680899
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10004,1.69999122772397
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10005,1.64986491710818
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10006,1.65829935757924
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10007,1.65222957463476
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10008,1.6594800719131
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10009,1.67270665687834
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10010,1.63811066207155
german,english_trained_reference_advantage,german_matched_minus_english_reference,weighted_english_nll,10011,1.65625625595144
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10000,-1.33235240913928
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10001,-1.36720339208841
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10002,-1.61457443796098
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10003,-1.541871862486
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10004,-1.41884802654386
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10005,-1.85013116151094
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10006,-1.63514275848866
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10007,-1.24026850610971
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10008,-1.21558696404099
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10009,-0.929761670529842
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10010,-1.96927270852029
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,installation_nll,10011,-1.35221519879997
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10000,-0.0942839508726436
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10001,-0.0968075121883592
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10002,-0.142690414227371
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10003,-0.154421959365323
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10004,-0.125812002187246
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10005,-0.218005749467586
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10006,-0.162806866766527
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10007,-0.0786026349631132
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10008,-0.0652072033285113
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10009,-0.0045956715397784
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10010,-0.235335028268021
spanish,english_rows_reduce_non_english_body_gap,english_rows_on_spanish_body,weighted_english_nll,10011,-0.100809000522407
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10000,-0.991143196821213
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10001,-1.25921693444252
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10002,-1.10090136341751
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10003,-1.17073617875576
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10004,-0.851334752514958
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10005,-0.921962652355432
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10006,-1.01731222122908
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10007,-0.883639110252261
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10008,-0.968758581206202
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10009,-1.47994680143893
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10010,-0.918342115357518
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,installation_nll,10011,-0.696040585637092
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10000,-0.0281034568234054
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10001,-0.0974050951309735
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10002,-0.0446728888871748
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10003,-0.0633324070306721
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10004,0.0031607546047832
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10005,-0.011171060287074
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10006,-0.032056900819648
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10007,-0.0075559506575393
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10008,-0.021632018203566
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10009,-0.136038377945662
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10010,-0.0246309845866568
german,english_rows_reduce_non_english_body_gap,english_rows_on_german_body,weighted_english_nll,10011,0.0528929843623843
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10000,4.53111273236573
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10001,4.65018316172063
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10002,4.85331893060356
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10003,4.73716656584293
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10004,4.62359787151217
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10005,5.1052506621927
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10006,4.9061805838719
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10007,4.47032315563411
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10008,4.58456670213491
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10009,4.20760953146964
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10010,5.21561803668737
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,installation_nll,10011,4.67603271547705
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10000,1.71935506125859
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10001,1.75412045655033
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10002,1.79132619023455
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10003,1.76248568801931
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10004,1.75427071866218
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10005,1.8566400681271
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10006,1.82799602992248
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10007,1.72422841823085
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10008,1.75878084522741
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10009,1.66478996971189
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10010,1.88579467607628
spanish,non_english_body_residual,spanish_body_residual_with_english_rows,weighted_english_nll,10011,1.77612169490785
german,non_english_body_residual,german_body_residual_with_english_rows,installation_nll,10000,4.36219049990177
