receiving_body_language,installed_rows,seed,final_english_perplexity,source_language_nll_increase
spanish,initial,10000,43.73464265996653,3.1225062306213376
spanish,initial,10001,43.62740418132428,3.2826295736083986
spanish,initial,10002,43.994566344958606,2.936978719238281
spanish,initial,10003,43.405835958880516,4.160426361938477
spanish,initial,10004,43.82019138994044,2.714815530700683
spanish,initial,10005,43.6850820411142,3.0490378764190673
spanish,initial,10006,44.22000079052476,3.086002082458496
spanish,initial,10007,43.948021085411334,2.888981757049561
spanish,initial,10008,44.43699259136409,3.027875294433594
spanish,initial,10009,44.48110938635674,3.1168542556762695
spanish,initial,10010,44.35551631843538,2.971675159210205
spanish,initial,10011,43.851610997260586,3.257396821746826
spanish,spanish_trained,10000,43.053329635011075,2.054139709106445
spanish,spanish_trained,10001,42.893129603497584,1.9958871714172362
spanish,spanish_trained,10002,43.481016722311495,2.0220838115844724
spanish,spanish_trained,10003,42.68980411055018,2.0300373416748045
spanish,spanish_trained,10004,43.145465675062866,1.9916688440551757
spanish,spanish_trained,10005,43.06906851766912,1.9876968257598877
spanish,spanish_trained,10006,43.57528013724522,2.05403566607666
spanish,spanish_trained,10007,43.378400132050054,1.9129762445373535
spanish,spanish_trained,10008,43.88631184308304,2.003361080749512
spanish,spanish_trained,10009,43.84631481896468,1.9684716549072263
spanish,spanish_trained,10010,43.66641597222165,2.000093257354736
spanish,spanish_trained,10011,43.14765948602461,1.9254506534423825
spanish,german_trained,10000,43.98242542772482,7.2593724449768064
spanish,german_trained,10001,43.8568869843712,10.252154271911621
spanish,german_trained,10002,44.44072010342064,6.349673069152832
spanish,german_trained,10003,43.655784093245174,8.906260396484376
spanish,german_trained,10004,44.024140649654534,6.711182133331298
spanish,german_trained,10005,43.958923594370546,7.62607661152649
spanish,german_trained,10006,44.630864146461946,7.069530555023194
spanish,german_trained,10007,44.34289027783454,7.550728089874268
spanish,german_trained,10008,44.83189927037706,6.718068973876952
spanish,german_trained,10009,44.83049409653495,8.877584021484374
spanish,german_trained,10010,44.666464214586945,6.882618939300537
spanish,german_trained,10011,44.22572437422722,6.185070217041016
spanish,english_trained,10000,41.572759769477116,3.9402653394775387
spanish,english_trained,10001,41.41049249708266,4.778028979553222
spanish,english_trained,10002,41.99996446569217,5.184594340820311
spanish,english_trained,10003,41.28560601478477,4.916450805603027
spanish,english_trained,10004,41.741095545452325,4.210938633758545
spanish,english_trained,10005,41.56822354740498,5.540411689041139
spanish,english_trained,10006,42.04782181055116,3.86563698916626
spanish,english_trained,10007,41.883245916737835,5.469764285552979
spanish,english_trained,10008,42.33219116569801,4.910968669677735
spanish,english_trained,10009,42.42443660390365,4.513454521301269
spanish,english_trained,10010,42.28776494080191,4.778073764373779
spanish,english_trained,10011,41.83301913383427,4.731548387390136
german,initial,10000,43.75812023263803,3.1933311876068116
german,initial,10001,43.51739720194303,3.1668252255859377
german,initial,10002,43.716353636548966,3.294549305541992
german,initial,10003,43.441650272582585,3.019178870849609
german,initial,10004,43.171784375987116,2.87248141305542
german,initial,10005,43.413103456811996,2.6555950648193356
german,initial,10006,43.32998180792905,3.0033493080749514
german,initial,10007,43.776602570638104,3.0038378184814456
german,initial,10008,43.44888500153536,2.8618130877380366
german,initial,10009,43.41874366794074,2.949646442687988
german,initial,10010,43.34889788660696,3.5539387926940917
german,initial,10011,43.434536484759136,2.841309154022217
german,spanish_trained,10000,44.09973310645787,9.205147029891968
german,spanish_trained,10001,43.698699569343276,9.168939381774901
german,spanish_trained,10002,43.91136632204268,7.747595715545653
german,spanish_trained,10003,43.89964940155035,6.284203862854005
german,spanish_trained,10004,43.542280769654575,7.1587807754211426
german,spanish_trained,10005,43.73132353037968,7.384120430786132
german,spanish_trained,10006,43.59803349877534,7.75591772869873
german,spanish_trained,10007,44.18696235406612,5.883426840332032
german,spanish_trained,10008,43.744721622231594,7.331957257110595
german,spanish_trained,10009,43.737109483989556,6.493681939880371
german,spanish_trained,10010,43.61158599703543,7.386858375915528
german,spanish_trained,10011,43.668027655739614,9.278938392700194
german,german_trained,10000,43.05682451089426,2.4339530734100343
german,german_trained,10001,42.76674565430333,2.4842026251220704
german,german_trained,10002,42.98139401930378,2.5058457149353024
german,german_trained,10003,42.878617951898875,2.365938065368652
german,german_trained,10004,42.7044079639826,2.465324658203125
german,german_trained,10005,42.88797790446961,2.4698257557983396
german,german_trained,10006,42.734038559950015,2.5959178207397464
german,german_trained,10007,43.23186724754287,2.375895114501953
german,german_trained,10008,42.88591643953684,2.4832669509582517
german,german_trained,10009,42.69328224041334,2.4904850903320312
german,german_trained,10010,42.61161667187758,2.5426508544921878
german,german_trained,10011,42.87013528924981,2.46535858605957
german,english_trained,10000,41.50808478901558,5.006678860092164
german,english_trained,10001,41.18307553692911,4.852264361633301
german,english_trained,10002,41.324103506871516,4.7817171855163565
german,english_trained,10003,41.18038672815104,5.406628481445313
german,english_trained,10004,41.02550470312331,5.088317260894776
german,english_trained,10005,41.284132128930096,5.401078397888184
german,english_trained,10006,41.04373399596163,4.370244313781738
german,english_trained,10007,41.648816516311,6.169435916992189
german,english_trained,10008,41.28517037612583,6.366674598785401
german,english_trained,10009,41.20572248071963,5.340386728576661
german,english_trained,10010,41.11623612138694,6.3563735273437505
german,english_trained,10011,41.20659795759129,4.032863176849365
english,initial,10000,40.18264285074317,0.6160542768859867
english,initial,10001,40.31959788455217,0.6575597536315918
english,initial,10002,40.11589391406497,0.5577420184020996
english,initial,10003,40.11611348430846,0.4470872470092768
english,initial,10004,40.057067504246945,0.5396825702209473
english,initial,10005,40.16763977680425,0.4132154894104003
english,initial,10006,39.99330753289117,0.5071631486816406
english,initial,10007,39.878219991675735,0.49550591180419934
english,initial,10008,39.89615552496931,0.5386745549926752
english,initial,10009,40.07619533809909,0.4410596919860841
english,initial,10010,40.13193052204119,0.5422319259338377
english,initial,10011,40.17876496698344,0.3988918696594239
english,spanish_trained,10000,40.82254601996056,3.760869989562988
english,spanish_trained,10001,40.954993282193044,4.311933099029542
english,spanish_trained,10002,40.7992370183581,3.283337129608154
english,spanish_trained,10003,40.860876925626066,3.063135862915039
english,spanish_trained,10004,40.71517157588069,4.111541780212402
english,spanish_trained,10005,40.82575582069137,3.700665729980469
english,spanish_trained,10006,40.59752562080077,3.5090543908996583
english,spanish_trained,10007,40.4312276646243,3.4368675652770997
english,spanish_trained,10008,40.484667106061075,2.6971318764343257
