specification,receiving_body_language,row_language,reference_rows,outcome,units,n,estimate,ci95_low,ci95_high
raw_scale,english,spanish,initial,learning_curve_auc,nats_times_log_update_per_unit_similarity,12,1.55902219360337,1.00710667914944,2.11093770805729
raw_scale,english,spanish,english_trained,learning_curve_auc,nats_times_log_update_per_unit_similarity,12,7.41934299806781,6.92837064420914,7.91031535192648
raw_scale,english,german,initial,learning_curve_auc,nats_times_log_update_per_unit_similarity,12,1.24504201031487,0.817688280256536,1.67239574037321
raw_scale,english,german,english_trained,learning_curve_auc,nats_times_log_update_per_unit_similarity,12,5.30126851105146,4.8345111112999,5.76802591080303
target_piece_count_adjusted,spanish,spanish,initial,step_zero,standardized_slope_difference,12,0.377228309866337,0.365615257981341,0.388841361751333
target_piece_count_adjusted,spanish,spanish,english_trained,step_zero,standardized_slope_difference,12,0.346340314952083,0.324974570959233,0.367706058944933
target_piece_count_adjusted,spanish,german,initial,step_zero,standardized_slope_difference,12,0.0239757580537836,0.0095499532828642,0.0384015628247029
target_piece_count_adjusted,spanish,german,english_trained,step_zero,standardized_slope_difference,12,0.0296404787579932,0.0142769997161026,0.0450039577998839
target_piece_count_adjusted,spanish,spanish,initial,learning_curve_auc,standardized_slope_difference,12,0.365956125409443,0.356137138502474,0.375775112316413
target_piece_count_adjusted,spanish,spanish,english_trained,learning_curve_auc,standardized_slope_difference,12,0.31794249688006,0.301256115411134,0.334628878348986
target_piece_count_adjusted,spanish,german,initial,learning_curve_auc,standardized_slope_difference,12,0.0470971241605375,0.0344233815544169,0.0597708667666582
target_piece_count_adjusted,spanish,german,english_trained,learning_curve_auc,standardized_slope_difference,12,0.0591739401971206,0.0490593593905541,0.0692885210036872
target_piece_count_adjusted,german,spanish,initial,step_zero,standardized_slope_difference,12,0.0652259129228082,0.0286997048635661,0.10175212098205
target_piece_count_adjusted,german,spanish,english_trained,step_zero,standardized_slope_difference,12,0.0524240020450882,0.0064699971660948,0.0983780069240816
target_piece_count_adjusted,german,german,initial,step_zero,standardized_slope_difference,12,0.287698756150229,0.280194671575089,0.29520284072537
target_piece_count_adjusted,german,german,english_trained,step_zero,standardized_slope_difference,12,0.274842152973888,0.261681447839788,0.288002858107988
target_piece_count_adjusted,german,spanish,initial,learning_curve_auc,standardized_slope_difference,12,0.0923623927577849,0.0707772326829106,0.113947552832659
target_piece_count_adjusted,german,spanish,english_trained,learning_curve_auc,standardized_slope_difference,12,0.0700568834789058,0.0427963255825794,0.0973174413752322
target_piece_count_adjusted,german,german,initial,learning_curve_auc,standardized_slope_difference,12,0.283135010462566,0.273961027113231,0.292308993811901
target_piece_count_adjusted,german,german,english_trained,learning_curve_auc,standardized_slope_difference,12,0.273225583862971,0.261114335607691,0.28533683211825
target_piece_count_adjusted,english,spanish,initial,step_zero,standardized_slope_difference,12,0.019232708565106,-0.0232653418704682,0.0617307590006803
target_piece_count_adjusted,english,spanish,english_trained,step_zero,standardized_slope_difference,12,0.0067496818958974,-0.0357540748385463,0.0492534386303412
target_piece_count_adjusted,english,german,initial,step_zero,standardized_slope_difference,12,-0.0061390048681916,-0.0301859280152962,0.0179079182789129
target_piece_count_adjusted,english,german,english_trained,step_zero,standardized_slope_difference,12,0.161560241087758,0.135058145789031,0.188062336386486
target_piece_count_adjusted,english,spanish,initial,learning_curve_auc,standardized_slope_difference,12,0.081894181801535,0.0555478630494004,0.10824050055367
target_piece_count_adjusted,english,spanish,english_trained,learning_curve_auc,standardized_slope_difference,12,-0.023160746094227,-0.0538547890147823,0.0075332968263283
target_piece_count_adjusted,english,german,initial,learning_curve_auc,standardized_slope_difference,12,0.043423501321913,0.0259702071920051,0.060876795451821
target_piece_count_adjusted,english,german,english_trained,learning_curve_auc,standardized_slope_difference,12,0.151273112317996,0.126342094275329,0.176204130360663
