specification,n,correct_assignment_min,correct_assignment_max,smallest_correct_assignment_ci95_low,largest_absolute_remaining_effect
whole_word,12,0.145905691587187,0.246167902541462,0.136764647267104,0.092259716057113
target_piece_count_adjusted,12,0.155544910403768,0.2845865786079,0.146153283911222,0.101320206433471
per_target_piece,12,0.0678000998610931,0.248749495112058,0.057495204411342,0.169569014459603
exact_forms_removed,12,0.166199791249228,0.248781480747802,0.155302062702657,0.0705642119816932
quadratic_similarity_10th_to_90th_percentile,12,0.111537586096935,0.176346219756637,0.10218990556226,0.0717736646347325
