specification,correct_assignment_min,correct_assignment_max,smallest_correct_assignment_ci95_low,largest_absolute_remaining_effect
first_listed_translation,0.145905691587187,0.246167902541462,0.136764647267104,0.092259716057113
unambiguous_translations_only,0.150746298122615,0.262009535743618,0.141485022912725,0.0869553663831039
mean_minimum_or_maximum_across_translations,0.137613032686229,0.255165419455659,0.128453325274445,0.0957883658822327
source_case_and_accents_retained,0.177688432601647,0.237273407982327,0.167627153345536,0.109119749431348
bpe_token_sequence_similarity,0.411078218777068,0.657350488336345,0.393869926043753,0.289038478789424
bpe_token_sequence_similarity_with_piece_count,0.413130475704516,0.596708552098501,0.395822253669895,0.235481971750113
