language,english_updates,estimand,seed,estimate
spanish,200,co_trained_rows,93,0.226284344932768
spanish,200,co_trained_rows,94,0.242260599534636
spanish,200,co_trained_rows,95,0.208048047292477
spanish,200,co_trained_rows,96,0.252657279094703
spanish,200,co_trained_rows,97,0.241164798177624
spanish,200,co_trained_rows,98,0.204790160957105
spanish,200,co_trained_rows,99,0.228976206710618
spanish,200,co_trained_rows,100,0.190811016849271
spanish,200,co_trained_rows,101,0.224276553168793
spanish,200,other_run_same_language_donor,90,0.201399483142103
spanish,200,other_run_same_language_donor,91,0.214081792688951
spanish,200,other_run_same_language_donor,92,0.204626381579789
spanish,200,other_run_same_language_donor,93,0.208456479071872
spanish,200,other_run_same_language_donor,94,0.213376521058845
spanish,200,other_run_same_language_donor,95,0.193194214416023
spanish,200,other_run_same_language_donor,96,0.24080062714079
spanish,200,other_run_same_language_donor,97,0.219609197371348
spanish,200,other_run_same_language_donor,98,0.218951139486995
spanish,200,other_run_same_language_donor,99,0.203847155625222
spanish,200,other_run_same_language_donor,100,0.184677478287652
spanish,200,other_run_same_language_donor,101,0.236700925180095
spanish,200,other_language_donor,90,0.0685082329070048
spanish,200,other_language_donor,91,0.0933125868175879
spanish,200,other_language_donor,92,0.0711944029532949
spanish,200,other_language_donor,93,0.078165886667397
spanish,200,other_language_donor,94,0.0687180881598288
spanish,200,other_language_donor,95,0.0569297650824985
spanish,200,other_language_donor,96,0.0742412729722236
spanish,200,other_language_donor,97,0.0804450718290433
spanish,200,other_language_donor,98,0.0808297029514082
spanish,200,other_language_donor,99,0.0895319076373722
spanish,200,other_language_donor,100,0.0598798887162223
spanish,200,other_language_donor,101,0.0755403457598257
spanish,400,co_trained_rows,90,0.206677958611006
spanish,400,co_trained_rows,91,0.169945307960689
spanish,400,co_trained_rows,92,0.164204038930451
spanish,400,co_trained_rows,93,0.119587748089287
spanish,400,co_trained_rows,94,0.144554503642778
spanish,400,co_trained_rows,95,0.171809180052587
spanish,400,co_trained_rows,96,0.146375388651072
spanish,400,co_trained_rows,97,0.14419488627608
spanish,400,co_trained_rows,98,0.150673907301095
spanish,400,co_trained_rows,99,0.181585192713201
spanish,400,co_trained_rows,100,0.141374832969905
spanish,400,co_trained_rows,101,0.150075157508711
spanish,400,other_run_same_language_donor,90,0.20415251706868
spanish,400,other_run_same_language_donor,91,0.141000569035122
spanish,400,other_run_same_language_donor,92,0.145798430927183
spanish,400,other_run_same_language_donor,93,0.113041169193818
spanish,400,other_run_same_language_donor,94,0.124133012872634
spanish,400,other_run_same_language_donor,95,0.160715678955824
spanish,400,other_run_same_language_donor,96,0.13481465062614
spanish,400,other_run_same_language_donor,97,0.145600197452749
spanish,400,other_run_same_language_donor,98,0.152315580607188
spanish,400,other_run_same_language_donor,99,0.16785820755999
spanish,400,other_run_same_language_donor,100,0.141347739658129
spanish,400,other_run_same_language_donor,101,0.138081818224018
spanish,400,other_language_donor,90,0.0811631327362862
spanish,400,other_language_donor,91,0.0807996064674203
spanish,400,other_language_donor,92,0.0388627137883576
spanish,400,other_language_donor,93,0.0340300572942005
spanish,400,other_language_donor,94,0.0466822264829781
spanish,400,other_language_donor,95,0.0498677751699007
spanish,400,other_language_donor,96,0.0805389663391828
spanish,400,other_language_donor,97,0.0135846985252675
spanish,400,other_language_donor,98,0.0977395884436546
spanish,400,other_language_donor,99,0.0645650431240778
spanish,400,other_language_donor,100,0.0741212221260636
spanish,400,other_language_donor,101,0.0584715367264668
spanish,800,co_trained_rows,90,0.0860041105244672
spanish,800,co_trained_rows,91,0.10204902563956
spanish,800,co_trained_rows,92,0.113391964729137
spanish,800,co_trained_rows,93,0.0886741977156391
spanish,800,co_trained_rows,94,0.094479516032745
spanish,800,co_trained_rows,95,0.112987213264255
spanish,800,co_trained_rows,96,0.101241375106859
spanish,800,co_trained_rows,97,0.0900019561266739
spanish,800,co_trained_rows,98,0.103417546426321
spanish,800,co_trained_rows,99,0.0878377839915013
spanish,800,co_trained_rows,100,0.101980117390883
spanish,800,co_trained_rows,101,0.103195190083523
spanish,800,other_run_same_language_donor,90,0.0724037791931115
spanish,800,other_run_same_language_donor,91,0.0843170442740115
spanish,800,other_run_same_language_donor,92,0.101696058731698
spanish,800,other_run_same_language_donor,93,0.0720118219431576
spanish,800,other_run_same_language_donor,94,0.074647792839025
spanish,800,other_run_same_language_donor,95,0.103147850805704
spanish,800,other_run_same_language_donor,96,0.0802219691048921
spanish,800,other_run_same_language_donor,97,0.0871437508669541
spanish,800,other_run_same_language_donor,98,0.107954382228544
spanish,800,other_run_same_language_donor,99,0.0935299162606656
spanish,800,other_run_same_language_donor,100,0.0745662488342472
spanish,800,other_run_same_language_donor,101,0.102098848685206
spanish,800,other_language_donor,90,0.0172733963598121
spanish,800,other_language_donor,91,0.0246263676344797
spanish,800,other_language_donor,92,0.0399902664504055
spanish,800,other_language_donor,93,0.0249575826734769
spanish,800,other_language_donor,94,0.0019085291627936
spanish,800,other_language_donor,95,0.0260269002591841
spanish,800,other_language_donor,96,0.0364739644481206
spanish,800,other_language_donor,97,0.0249039264856159
spanish,800,other_language_donor,98,0.0315199226031094
spanish,800,other_language_donor,99,0.0268932634007091
spanish,800,other_language_donor,100,0.0300234066621852
spanish,800,other_language_donor,101,0.0474739194870641
spanish,1500,co_trained_rows,90,0.0592066987622831
spanish,1500,co_trained_rows,91,0.0559738180083187
spanish,1500,co_trained_rows,92,0.0721672222799623
spanish,1500,co_trained_rows,93,0.0483231727013884
spanish,1500,co_trained_rows,94,0.0600584720559065
spanish,1500,co_trained_rows,95,0.060686771718292
spanish,1500,co_trained_rows,96,0.0717324098004089
spanish,1500,co_trained_rows,97,0.0640153587209949
spanish,1500,co_trained_rows,98,0.0224819793248486
spanish,1500,co_trained_rows,99,0.0820629382292508
spanish,1500,co_trained_rows,100,0.049347651724969
spanish,1500,co_trained_rows,101,0.0610314044408461
spanish,1500,other_run_same_language_donor,90,0.046842185088413
spanish,1500,other_run_same_language_donor,91,0.042721569288526
spanish,1500,other_run_same_language_donor,92,0.0640167148662078
spanish,1500,other_run_same_language_donor,93,0.0622611178212741
spanish,1500,other_run_same_language_donor,94,0.0554599726961952
spanish,1500,other_run_same_language_donor,95,0.0570643329776504
spanish,1500,other_run_same_language_donor,96,0.0722866741857663
spanish,1500,other_run_same_language_donor,97,0.0432515629119112
spanish,1500,other_run_same_language_donor,98,0.0237607934055194
spanish,1500,other_run_same_language_donor,99,0.081737187513358
