language,contrast,n,estimate,sample_sd,ci95_low,ci95_high,perplexity_ratio
spanish,co_trained_minus_initial,12,-1.00861744668024,0.27450992021005,-1.18303272885257,-0.834202164507913,0.364722879985178
spanish,same_language_other_run_minus_initial,12,-0.935444952454418,0.293693884911662,-1.12204914428092,-0.748840760627911,0.392411222343919
spanish,other_language_minus_initial,12,4.19932008200946,1.13770118612831,3.47645923510627,4.92218092891265,66.6410052153955
spanish,same_language_other_run_minus_co_trained,12,0.0731724942258247,0.0341826023735,0.0514539048437121,0.0948910836079374,1.07591611022557
spanish,other_language_minus_same_language_other_run,12,5.13476503446388,1.19432011475717,4.37593023658092,5.89359983234684,169.824412302331
german,co_trained_minus_initial,12,-0.589807438974579,0.159169093002565,-0.690938655827921,-0.488676222121237,0.554434036842692
german,same_language_other_run_minus_initial,12,-0.460020645366361,0.173517286118174,-0.570268269193291,-0.349773021539431,0.631270612559322
german,other_language_minus_initial,12,4.50667693671615,1.16518116654573,3.76635614324736,5.24699773018494,90.620181011561
german,same_language_other_run_minus_co_trained,12,0.129786793608218,0.035984551345214,0.106923300471367,0.15265028674507,1.13858560371616
german,other_language_minus_same_language_other_run,12,4.96669758208251,1.10004155623813,4.26776452244754,5.66563064171748,143.552034909664
