claim_id,claim,kind,decision,adjusted_p,alpha,multiplicity
trained_row_effect,Trained-row spelling effect,directional,supported,8.85609223850885e-15,0.05,holm_across_two_claims
correct_assignment_advantage,Correctly assigned rows over reassigned rows,directional,supported,1.81808223514644e-09,0.05,holm_across_two_claims
